Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02 00:00:00-05:00,308.4270241245998,309.7139696462062,307.4641932594172,309.69488525390625,59151200,0.0,0.0,0.0
2020-01-03 00:00:00-05:00,306.1582424845443,308.5224092433522,306.1010474824177,307.349853515625,77709700,0.0,0.0,0.0
2020-01-06 00:00:00-05:00,305.5195169212846,308.60819240293614,305.39558472307385,308.52239990234375,55653900,0.0,0.0,0.0
2020-01-07 00:00:00-05:00,307.93134003436836,308.4270688330437,307.1877759284211,307.6549072265625,40496400,0.0,0.0,0.0
2020-01-08 00:00:00-05:00,307.85501954870284,310.5623556529633,307.5976421025719,309.29449462890625,68296000,0.0,0.0,0.0
2020-01-09 00:00:00-05:00,310.9247129312803,311.4680945895508,310.31459406752344,311.3918151855469,48473300,0.0,0.0,0.0
2020-01-10 00:00:00-05:00,312.00184833489214,312.1638911127633,310.00947856065403,310.4956359863281,53029300,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,311.1439144278487,312.64055558491737,310.69586757276045,312.63104248046875,47086800,0.0,0.0,0.0
2020-01-14 00:00:00-05:00,312.1734437281021,313.2697198865093,311.57286720781025,312.1543884277344,62832800,0.0,0.0,0.0
2020-01-15 00:00:00-05:00,312.0591041555173,313.65108020922656,311.97331165191014,312.85986328125,72056600,0.0,0.0,0.0
2020-01-16 00:00:00-05:00,314.29932781329063,315.46234130859375,314.06100561418805,315.46234130859375,54050300,0.0,0.0,0.0
2020-01-17 00:00:00-05:00,316.2058611838369,316.6634211232009,315.39556000179795,316.4441833496094,95846000,0.0,0.0,0.0
2020-01-21 00:00:00-05:00,315.4432447579024,316.66345320660326,315.3669944576366,315.8245544433594,77742400,0.0,0.0,0.0
2020-01-22 00:00:00-05:00,316.7205636996623,317.39741948472357,315.70056710892766,315.86260986328125,48914900,0.0,0.0,0.0
2020-01-23 00:00:00-05:00,315.1858334054125,316.6539060833738,314.02282007986986,316.22491455078125,51963000,0.0,0.0,0.0
2020-01-24 00:00:00-05:00,316.9113329623197,316.9971254638033,312.06860953676716,313.4127502441406,87578400,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,307.94083865837035,309.93320849248806,307.5881265043389,308.3888854980469,84062500,0.0,0.0,0.0
2020-01-28 00:00:00-05:00,309.876009891989,312.53569340259725,308.4842165923706,311.62054443359375,63834000,0.0,0.0,0.0
2020-01-29 00:00:00-05:00,313.0409873297306,313.27930953470275,311.15346499320754,311.3631896972656,53888900,0.0,0.0,0.0
2020-01-30 00:00:00-05:00,309.2086711107525,312.5928630388452,308.42699658191634,312.37359619140625,75491800,0.0,0.0,0.0
